CITY,SIZE
1,12396372
2,6775561
3,3094325
4,2900319
5,2703391
6,2530701
7,2255903
8,1963726
9,1661017
10,1555626
11,1506420
12,1492530
13,1404694
14,1223237
15,1115932
16,1098357
17,1031597
18,929449
19,916001
20,896708
21,871126
22,849874
23,825796
24,825388
25,737310
26,723889
27,720116
28,711330
29,706597
30,701428
31,695328
32,673849
33,672614
34,624107
35,623614
36,604708
37,601844
38,580870
39,577532
40,548952
41,540410
42,536765
43,523716
44,522357
45,516981
46,516524
47,515239
48,514643
49,508655
50,481725
51,473385
52,469173
53,455587
54,450024
55,436591
56,436472
57,433991
58,429550
59,426935
60,419452
61,417478
62,413830
63,410275
64,405375
65,396526
66,393734
67,386495
68,381706
69,379082
70,370839
71,369534
72,369343
73,368918
74,366418
75,359372
76,358838
77,358539
78,349728
79,343826
80,343643
81,341415
82,340277
83,336919
84,336454
85,336073
86,334620
87,324977
88,320820
89,313349
90,310783
91,309208
92,308339
93,307144
94,303792
95,303397
96,297528
97,290383
98,289875
99,287664
100,285564
101,285159
102,282164
103,279704
104,279264
105,278264
106,274925
107,272490
108,267333
109,266136
110,260690
111,259980
112,257971
113,257882
114,257330
115,256915
116,253705
117,249277
118,247741
119,247303
120,247259
121,244416
122,244370
123,244131
124,243950
125,242505
126,242249
127,240542
128,240378
129,239613
130,237570
131,237119
132,234309
133,234077
134,231953
135,230986
136,227990
137,227587
138,226617
139,222850
140,221705
141,219544
142,219393
143,218787
144,214645
145,214123
146,212881
147,212437
148,212352
149,212172
150,210796
151,210171
152,209548
153,206103
154,205667
155,204669
156,199210
157,198661
158,195278
159,191664
160,187733
161,186245
162,185820
163,185237
164,184579
165,184030
166,183755
167,180345
168,179755
169,179574
170,179372
171,178679
172,177150
173,177016
174,175720
175,172346
176,171885
177,171317
178,169838
179,167668
180,167106
181,166159
182,164290
183,162893
184,162763
185,160439
186,159945
187,159529
188,158438
189,158432
190,157639
191,157378
192,157158
193,156277
194,154641
195,154293
196,154146
197,153863
198,153463
199,153023
200,152529
201,152311
202,149718
203,149227
204,148960
205,148522
206,145378
207,145073
208,144601
209,142508
210,141347
211,141269
212,140814
213,140597
214,140389
215,139061
216,138093
217,137877
218,137608
219,137438
220,137117
221,136739
222,136547
223,136109
224,135812
225,135732
226,135678
227,134788
228,134629
229,133913
230,133244
231,133169
232,132521
233,132271
234,132144
235,132006
236,131849
237,131687
238,131677
239,131026
240,130584
241,130122
242,129333
243,128504
244,128432
245,127734
246,126766
247,126545
248,126094
249,125705
250,125265
251,125238
252,125194
253,125137
254,124808
255,124468
256,124283
257,124269
258,124254
259,124134
260,123546
261,123368
262,123192
263,123114
264,123090
265,121717
266,121518
267,121447
268,121420
269,120779
270,119690
271,119649
272,119221
273,119213
274,118361
275,117995
276,117320
277,116852
278,116605
279,116439
280,115970
281,115838
282,115360
283,115139
284,114910
285,114508
286,113783
287,113416
288,113091
289,112669
290,111812
291,111554
292,111148
293,110709
294,109997
295,108766
296,108403
297,108241
298,108126
299,107631
300,107556
301,107368
302,107143
303,106845
304,106296
305,106015
306,105818
307,105768
308,105756
309,105273
310,105094
311,104942
312,104919
313,104517
314,104354
315,104351
316,104280
317,104046
318,104044
319,103750
320,103645
321,103633
322,103221
323,103204
324,101541
325,101139
326,100698
327,99613
328,99101
329,98888
330,98331
331,97873
332,97782
333,97519
334,97378
335,96951
336,96839
337,96106
338,96102
339,95752
340,95616
341,95339
342,95320
343,95241
344,95183
345,94941
346,94539
347,94455
348,94098
349,93308
350,93124
351,93076
352,92819
353,92671
354,92453
355,92315
356,92116
357,92090
358,92074
359,91938
360,91792
361,91637
362,91345
363,91268
364,90897
365,89927
366,89760
367,89532
368,89454
369,88899
370,88895
371,88428
372,87820
373,87467
374,87179
375,86713
376,86416
377,86407
378,86326
379,86317
380,86005
381,85734
382,85647
383,85461
384,85353
385,85309
386,85301
387,85131
388,84980
389,84779
390,84251
391,84160
392,84069
393,84041
394,83841
395,83705
396,83352
397,82895
398,82828
399,82468
400,82455
401,81693
402,81581
403,81552
404,81516
405,81085
406,80973
407,80903
408,80749
409,80735
410,80705
411,80588
412,80561
413,80514
414,80345
415,80062
416,80017
417,79910
418,79813
419,79550
420,79034
421,78978
422,78627
423,78488
424,78029
425,77612
426,77544
427,77484
428,77408
429,77330
430,77202
431,77111
432,76930
