CITY,SIZE
635,53259
636,53067
637,52804
638,52803
639,52802
640,52711
641,52683
642,52649
643,52640
644,52632
645,52530
646,52513
647,52446
648,52405
649,52380
650,52319
651,52306
652,52262
653,52078
654,51959
655,51956
656,51891
657,51755
658,51642
659,51620
660,51500
661,51436
662,51362
663,51338
664,51225
665,51081
666,51028
667,50852
668,50798
669,50772
670,50701
671,50672
672,50642
673,50616
674,50434
675,50429
676,50256
677,50161
678,49993
679,49842
680,49802
681,49621
682,49360
683,49278
684,49201
685,49011
686,48869
687,48767
688,48463
689,48459
690,48414
691,48410
692,48168
693,48131
694,48036
695,48029
696,48022
697,47991
698,47943
699,47931
700,47842
701,47825
702,47819
703,47726
704,47714
705,47616
706,47441
707,47365
708,47185
709,47126
710,47118
711,47111
712,47043
713,46893
714,46882
715,46879
716,46813
717,46771
718,46730
719,46705
720,46574
721,46556
722,46548
723,46523
724,46511
725,46471
726,46421
727,46414
728,46361
729,46303
730,46251
731,46202
732,46164
733,46122
734,46062
735,45945
736,45922
737,45860
738,45797
739,45774
740,45740
741,45644
742,45633
743,45604
744,45488
745,45435
746,45296
747,45286
748,45220
749,45136
750,45086
751,45047
752,45041
753,44979
754,44977
755,44970
756,44905
757,44858
758,44793
759,44569
760,44518
761,44471
762,44430
763,44409
764,44389
765,44372
766,44360
767,44236
768,44234
769,44179
770,44128
771,43935
772,43858
773,43829
774,43817
775,43783
776,43753
777,43716
778,43711
779,43686
780,43685
781,43680
782,43622
783,43540
784,43340
785,43331
786,43309
787,43171
788,43151
789,43110
790,42994
791,42965
792,42764
793,42594
794,42527
795,42517
796,42495
797,42483
798,42413
799,42276
800,42251
801,42215
802,42210
803,42166
804,42143
805,42100
806,42058
807,42045
808,42040
809,41902
810,41901
811,41840
812,41822
813,41801
814,41773
815,41748
816,41729
817,41699
818,41579
819,41414
820,41396
821,41352
822,41312
823,41258
824,41237
825,41170
826,41123
827,41101
828,41081
829,41040
830,41038
831,41032
832,41015
833,40989
834,40976
835,40922
836,40906
837,40903
838,40868
839,40867
840,40840
841,40828
842,40784
843,40666
844,40665
845,40651
846,40606
847,40605
848,40589
849,40584
850,40487
851,40380
852,40356
853,40333
854,40290
855,40245
856,40219
857,40136
858,40080
859,40073
860,39988
861,39983
862,39972
863,39893
864,39867
865,39861
866,39848
867,39826
868,39803
869,39775
870,39690
871,39583
872,39567
873,39524
874,39388
875,39336
876,39322
877,39314
878,39191
879,39155
880,39064
881,39044
882,39023
883,38883
884,38808
885,38778
886,38731
887,38710
888,38583
889,38522
890,38397
891,38378
892,38348
893,38339
894,38325
895,38298
896,38265
897,38186
898,38151
899,38117
900,38114
901,38103
902,38057
903,38026
904,37964
905,37942
906,37900
907,37864
908,37747
909,37578
910,37561
911,37531
912,37527
913,37489
914,37450
915,37441
916,37414
917,37404
918,37401
919,37375
920,37368
921,37366
922,37340
923,37324
924,37203
925,37193
926,37085
927,37083
928,37082
929,36951
930,36901
931,36881
932,36712
933,36651
934,36648
935,36584
936,36556
