CITY,SIZE
1,11904961
2,6730729
3,2996899
4,2578483
5,2564204
6,2415872
7,2303732
8,1830795
9,1588376
10,1503256
11,1397315
12,1388794
13,1349100
14,1187974
15,1089215
16,994952
17,962883
18,960196
19,905692
20,897633
21,866225
22,843220
23,841154
24,784249
25,782048
26,762172
27,761835
28,759524
29,731639
30,727078
31,691875
32,684293
33,664541
34,660806
35,651718
36,630932
37,587486
38,581382
39,579720
40,567730
41,556021
42,519259
43,518384
44,517709
45,516787
46,509227
47,506779
48,504166
49,489676
50,485477
51,479599
52,470302
53,466503
54,463039
55,443911
56,440835
57,437601
58,431433
59,429660
60,429547
61,429014
62,420300
63,418444
64,405408
65,403579
66,398236
67,396613
68,392947
69,389001
70,385558
71,382983
72,378406
73,376200
74,375632
75,368539
76,368195
77,365494
78,365144
79,364717
80,360871
81,359840
82,356781
83,349880
84,346971
85,343378
86,338326
87,336150
88,333737
89,328499
90,322397
91,321636
92,320261
93,318922
94,305771
95,305531
96,301292
97,297352
98,295658
99,294926
100,294871
101,294850
102,291116
103,290975
104,289493
105,285806
106,285307
107,282648
108,282395
109,279971
110,278587
111,275430
112,271713
113,269657
114,266561
115,266427
116,264439
117,264017
118,263708
119,259788
120,259164
121,256122
122,253474
123,253469
124,251613
125,250952
126,248842
127,247571
128,247348
129,245352
130,244142
131,243906
132,243583
133,242995
134,241672
135,241494
136,240127
137,238909
138,238438
139,235802
140,235311
141,234706
142,231996
143,230382
144,227438
145,225737
146,223780
147,221262
148,219564
149,218416
150,218049
151,216519
152,214811
153,212470
154,210323
155,209126
156,208415
157,204081
158,203417
159,199519
160,198935
161,198342
162,196344
163,194062
164,189630
165,189456
166,189149
167,186479
168,185688
169,183797
170,183024
171,182711
172,182630
173,181679
174,179582
175,179142
176,178830
177,176735
178,175047
179,175042
180,172693
181,172681
182,172458
183,172344
184,172339
185,171634
186,171476
187,170491
188,169201
189,169173
190,168455
191,167161
192,165943
193,164256
194,163787
195,163546
196,163003
197,162247
198,162133
199,161196
200,160852
201,160701
202,160318
203,156112
204,155500
205,155307
206,153738
207,153560
208,153158
209,151803
210,151674
211,151053
212,150241
213,150104
214,149135
215,144859
216,144504
217,144243
218,143676
219,143523
220,142851
221,142248
222,141503
223,141111
224,140101
225,139076
226,139027
227,138978
228,138946
229,138749
230,138583
231,138270
232,137906
233,137697
234,137409
235,136572
236,136311
237,135744
238,135369
239,134910
240,134576
241,134423
242,133510
243,132489
244,132258
245,132176
246,131255
247,129695
248,129301
249,129130
250,128106
251,127977
252,127433
253,127112
254,126957
255,125861
256,124838
257,124665
258,124495
259,124021
260,123432
261,123340
262,123059
263,123017
264,122760
265,121928
266,121916
267,121559
268,121550
269,121067
270,120959
271,120819
272,120419
273,119655
274,119437
275,119418
276,119275
277,118954
278,118803
279,118786
280,118495
281,118382
282,118283
283,118258
284,118053
285,117324
286,116951
287,116725
288,116674
289,116058
290,114870
291,114791
292,114603
293,113917
294,113498
295,113322
296,112304
297,111751
298,111634
299,110923
300,110682
301,110677
302,110611
303,109791
304,109651
305,109609
306,109250
307,109170
308,108708
309,108622
310,108447
311,108104
312,107755
313,107663
314,107423
315,107297
316,106911
317,106820
318,106775
319,106539
320,106355
321,105974
322,105957
323,104858
324,104854
325,104248
326,104122
327,103363
328,103272
329,102844
330,102588
331,102312
332,102171
333,101855
334,101570
335,101537
336,101213
337,100568
338,100071
339,99005
340,98916
341,98816
342,98751
343,98598
344,98549
345,98506
346,98365
347,98280
348,97835
349,97821
350,97658
351,97328
352,97096
353,96879
354,96855
355,96450
356,96209
357,96119
358,96080
359,96046
360,96006
361,95946
362,95792
363,95742
364,95315
365,94468
366,94357
367,93488
368,93103
369,92694
370,92429
371,92393
372,91767
373,91760
374,91320
375,90890
376,90504
377,90273
378,90209
379,90053
380,89524
381,88846
382,88249
383,88091
384,87848
385,87757
386,87661
387,87468
388,87329
389,87206
390,87056
391,86968
392,86896
393,86701
394,86564
395,86431
396,86116
397,85497
398,85316
399,84794
400,84690
401,84395
402,84297
403,84280
404,84172
405,84033
406,83862
407,83791
408,83756
409,83543
410,83482
411,82988
412,82487
413,82319
414,82303
415,82222
416,82016
417,81495
418,81441
419,81366
420,81299
421,81161
422,81075
423,80137
424,80130
425,79781
426,79517
427,79488
428,79205
429,79195
430,79146
431,79089
432,79043
433,78781
434,78344
435,78291
436,78257
437,78144
438,78090
439,78009
440,77935
441,77914
442,77888
443,77801
444,77479
445,77451
446,77376
447,76866
448,76844
449,76837
450,76611
451,76444
452,76298
453,76131
454,75882
455,75818
456,75644
457,75594
458,75454
459,75309
460,75296
461,75290
462,75221
463,75179
464,75112
465,74999
466,74994
467,74854
468,74834
469,74368
470,74285
471,74038
472,73878
473,73621
474,73576
475,73555
476,73508
477,73473
478,73348
479,73058
480,72889
481,72552
482,72512
483,71601
484,71449
485,70897
486,70842
487,70734
488,70629
489,70066
490,69792
491,69551
492,69446
493,69372
494,69317
495,68962
496,68913
497,68866
498,68862
499,68724
500,68584
501,68568
502,68489
503,68425
504,68234
505,67887
506,67832
507,67821
508,67732
509,67580
510,67436
511,67123
512,67060
513,66827
514,66585
515,66352
516,66336
517,66234
518,66146
519,65946
520,65811
521,65481
522,65433
523,65390
524,65251
525,65174
526,65007
527,64845
528,64768
529,64745
530,64719
531,64655
532,64651
533,64596
534,64506
535,64393
536,64002
537,63961
538,63850
539,63796
540,63670
541,63489
542,63455
543,63454
544,63426
545,63338
546,63326
547,63110
548,62972
549,62959
550,62823
551,62623
552,62477
553,62309
554,62264
555,62189
556,62174
557,62158
558,62143
559,62004
560,61999
561,61927
562,61625
563,61337
564,61311
565,61275
566,61167
567,61004
568,60860
569,60454
570,60318
571,60185
572,60090
573,60057
574,59939
575,59924
576,59861
577,59638
578,59336
579,59236
580,59222
581,59126
582,59099
583,59074
584,58839
585,58734
586,58695
587,58605
588,58398
589,58191
590,58018
591,57910
592,57768
593,57713
594,57654
595,57396
596,57262
597,57256
598,57209
599,57031
600,56948
601,56874
602,56850
603,56733
604,56726
605,56560
606,56475
607,56430
608,56369
609,56316
610,55977
611,55970
612,55809
613,55762
614,55704
615,55682
616,55527
617,55272
618,55146
619,55076
620,54891
621,54865
622,54730
623,54691
624,54377
625,54353
626,54326
627,54311
628,54266
629,54255
630,54223
631,54192
632,54062
633,54027
634,53966
635,53927
636,53884
637,53642
638,53569
639,53489
640,53467
641,53457
642,53427
643,53426
644,53380
645,53276
646,53264
647,53176
648,53014
649,52860
650,52845
651,52783
652,52744
653,52739
654,52352
655,52324
656,52201
657,52133
658,52079
659,51888
660,51784
661,51722
662,51369
663,51308
664,51165
665,51016
666,51009
667,50968
668,50946
669,50848
670,50773
671,50715
672,50698
673,50600
674,50336
675,50329
676,50308
677,50238
678,50109
679,50094
680,50078
681,50058
682,50053
