CITY,SIZE
1,11895578
2,6729894
3,2982818
4,2574412
5,2568928
6,2416339
7,2279686
8,1829225
9,1587707
10,1494599
11,1398531
12,1389322
13,1345364
14,1185977
15,1088057
16,994464
17,960652
18,954537
19,902644
20,888679
21,866347
22,843046
23,840499
24,785368
25,778711
26,757459
27,756952
28,754954
29,728400
30,724756
31,683285
32,682932
33,657948
34,654888
35,649975
36,628849
37,577318
38,576361
39,572274
40,565764
41,550925
42,519011
43,518263
44,516720
45,514873
46,507838
47,502899
48,501597
49,487200
50,479256
51,470169
52,468120
53,466536
54,460313
55,440939
56,438827
57,434321
58,429567
59,429380
60,429236
61,425983
62,415847
63,414083
64,404118
65,402290
66,398462
67,394024
68,391740
69,387852
70,382521
71,380597
72,375730
73,375485
74,372562
75,365577
76,365402
77,364331
78,364104
79,362960
80,359554
81,357311
82,354142
83,345644
84,344828
85,342800
86,338407
87,336131
88,330339
89,323625
90,321298
91,319394
92,318765
93,314627
94,303004
95,300728
96,298854
97,295500
98,294983
99,294973
100,289949
101,289787
102,288513
103,287289
104,287004
105,285146
106,284274
107,282244
108,279898
109,278034
110,275959
111,275294
112,269298
113,267796
114,266649
115,265294
116,264138
117,260640
118,259323
119,259167
120,257414
121,254481
122,252318
123,249968
124,249684
125,247331
126,246655
127,246627
128,245477
129,244092
130,243661
131,242328
132,241924
133,240720
134,240613
135,240040
136,238166
137,238025
138,237931
139,235879
140,235445
141,234083
142,232113
143,229483
144,225669
145,225281
146,218872
147,217960
148,216969
149,216029
150,215286
151,214564
152,213506
153,211986
154,208857
155,207775
156,207603
157,203328
158,202450
159,198958
160,198323
161,196676
162,195753
163,194116
164,189338
165,189028
166,188710
167,185622
168,184634
169,182241
170,181912
171,181688
172,181493
173,181007
174,179120
175,178803
176,178713
177,176692
178,174561
179,172109
180,172027
181,171609
182,171533
183,171107
184,170999
185,170667
186,169849
187,169552
188,168733
189,168099
190,167870
191,166043
192,163928
193,163774
194,163428
195,162341
196,161506
197,160751
198,160662
199,160038
200,159735
201,159121
202,158620
203,155771
204,155544
205,153332
206,152306
207,151949
208,151064
209,150858
210,150442
211,149819
212,149786
213,149093
214,148758
215,143837
216,143799
217,142802
218,142695
219,142571
220,141435
221,141303
222,141084
223,140125
224,139359
225,138232
226,138104
227,137980
228,137892
229,137773
230,137612
231,137331
232,137323
233,136982
234,136826
235,136542
236,135331
237,134944
238,134306
239,134286
240,133684
241,133359
242,132849
243,131679
244,131600
245,131277
246,131199
247,129630
248,128622
249,128560
250,127775
251,126600
252,126403
253,125785
254,124934
255,124788
256,123980
257,123863
258,123207
259,122988
260,122874
261,122312
262,121988
263,121972
264,121900
265,121710
266,120885
267,120789
268,120561
269,120515
270,120478
271,120394
272,119576
273,119172
274,119142
275,119128
276,118998
277,118877
278,118353
279,118295
280,117759
281,117747
282,117677
283,117435
284,116662
285,116530
286,115690
287,115495
288,115082
289,115051
290,113525
291,112910
292,112843
293,112547
294,112520
295,112289
296,111009
297,110691
298,110619
299,110556
300,110506
301,110404
302,109884
303,109497
304,109267
305,108937
306,108573
307,108551
308,108528
309,108408
310,108161
311,107774
312,107620
313,107246
314,107222
315,107092
316,106877
317,106431
318,106397
319,106094
320,105638
321,105558
322,104788
323,104642
324,104277
325,103945
326,103340
327,102500
328,102410
329,102251
330,102149
331,102033
332,101956
333,101316
334,101302
335,100360
336,100159
337,99678
338,99107
339,98963
340,98501
341,98397
342,98382
343,98257
344,98143
345,97637
346,97577
347,97435
348,97399
349,97363
350,96651
351,96632
352,96602
353,96598
354,96545
355,96238
356,96098
357,95956
358,95762
359,95534
360,95525
361,95201
362,94062
363,93852
364,93619
365,93065
366,92927
367,92324
368,92256
369,91947
370,91887
371,91626
372,91573
373,90795
374,90724
375,90687
376,90104
377,90028
378,89943
379,89574
380,88483
381,88167
382,87919
383,87775
384,87672
385,87370
386,87296
387,86851
388,86649
389,86629
390,86433
391,86228
392,86137
393,85982
394,85873
395,85797
396,85160
397,84737
398,84737
399,84428
400,84404
401,84202
402,84087
403,84019
404,83862
405,83647
406,83360
407,83330
408,83205
409,83009
410,82359
411,82300
412,82250
413,82028
414,82003
415,81950
416,81342
417,80998
418,80304
419,80217
420,79981
421,79934
422,79809
423,79663
424,79395
425,79278
426,79235
427,79221
428,79130
429,78754
430,78752
431,78442
432,78425
433,78317
434,78210
435,78181
436,78079
437,77976
438,77898
439,77651
440,77601
441,77207
442,77182
443,77014
444,76982
445,76729
446,76578
447,76513
448,76390
449,76365
450,76333
451,75998
452,75815
453,75597
454,75526
455,75475
456,75291
457,75083
458,75053
459,74935
460,74894
461,74836
462,74825
463,74808
464,74742
465,74614
466,74582
467,74329
468,74119
469,74095
470,73919
471,73820
472,73781
473,73596
474,73467
475,73286
476,73281
477,72694
478,72477
479,72460
480,72326
481,72283
482,71462
483,71316
484,70805
485,70679
486,70668
487,70543
488,70067
489,69876
490,69717
491,69324
492,68955
493,68805
494,68758
495,68735
496,68704
497,68555
498,68395
499,68329
500,68244
501,68191
502,67999
503,67872
504,67676
505,67515
506,67296
507,67114
508,67087
509,66993
510,66978
511,66898
512,66873
513,66295
514,66171
515,66110
516,66012
517,65957
518,65714
519,65705
520,65635
521,65485
522,65416
523,65408
524,65323
525,65031
526,64910
527,64809
528,64802
529,64704
530,64547
531,64519
532,64255
533,64228
534,64150
535,64058
536,63959
537,63754
538,63641
539,63638
540,63415
541,63339
542,63317
543,63203
544,62701
545,62609
546,62559
547,62455
548,62341
549,62322
550,62312
551,62285
552,62269
553,62252
554,62065
555,61970
556,61908
557,61801
558,61732
559,61516
560,61473
561,61351
562,61323
563,61291
564,61223
565,61204
566,60942
567,60874
568,60796
569,60486
570,60189
571,60102
572,59960
573,59873
574,59837
575,59836
576,59638
577,59569
578,59264
579,59125
580,59113
581,59037
582,58906
583,58413
584,58345
585,58299
586,58140
587,57913
588,57758
589,57647
590,57543
591,57499
592,57120
593,57086
594,57023
595,56999
596,56896
597,56721
598,56701
599,56674
600,56615
601,56593
602,56406
603,56397
604,56296
605,56170
606,56107
607,55949
608,55877
609,55798
610,55784
611,55666
612,55633
613,55583
614,55271
615,55164
616,55041
617,54986
618,54940
619,54795
620,54586
621,54572
622,54425
623,54360
624,54300
625,54239
626,54237
627,54194
628,54111
629,53995
630,53952
631,53943
632,53940
633,53806
634,53778
635,53640
636,53629
637,53583
638,53555
639,53528
640,53416
641,53391
642,53322
643,53309
644,53157
645,53115
646,53083
647,53054
648,52809
649,52707
650,52696
651,52621
652,52613
653,52187
654,52169
655,52103
656,52084
657,51788
658,51660
659,51318
660,51264
661,51107
662,50998
663,50959
664,50730
665,50642
666,50613
667,50610
668,50428
669,50336
670,50331
671,50214
672,50178
673,50153
674,50033
675,50017
676,49986
677,49971
678,49941
679,49891
680,49829
681,49823
682,49815
683,49693
684,49668
685,49637
686,49533
687,49440
688,49374
689,49354
690,49353
691,49086
692,48955
693,48929
694,48927
695,48903
696,48725
697,48563
698,48561
699,48532
700,48530
701,48475
702,48473
703,48286
704,48207
705,48168
706,48036
707,47983
708,47831
709,47800
710,47738
711,47707
712,47677
713,47614
714,47596
715,47575
716,47558
717,47406
718,47403
719,47397
720,47368
721,47351
722,47099
723,47074
724,47014
725,46979
726,46969
727,46943
728,46868
729,46719
730,46664
731,46656
732,46653
733,46578
734,46517
735,46427
736,46249
737,46223
738,46217
739,46215
740,46192
741,45939
742,45875
743,45857
744,45830
745,45534
746,45465
747,45418
748,45408
749,45400
750,45328
751,45327
752,45317
753,45250
754,45138
755,45062
756,45042
757,44978
758,44839
759,44540
760,44467
761,44413
762,44393
763,44391
764,44384
765,44342
766,44332
767,44323
768,44294
769,44285
770,44150
771,44098
772,43992
773,43916
774,43725
775,43713
776,43686
777,43673
778,43656
779,43636
780,43624
781,43594
782,43553
783,43413
784,43392
785,43362
786,43348
787,43309
788,43283
789,43268
790,43255
791,43115
792,43112
793,42968
794,42936
795,42930
796,42918
797,42746
798,42682
799,42543
800,42510
801,42507
802,42480
803,42442
804,42407
805,42320
806,42282
807,42257
808,42114
809,42087
810,42056
811,41943
812,41909
813,41894
814,41786
815,41745
816,41647
817,41641
818,41621
819,41551
820,41536
821,41512
822,41447
823,41416
824,41414
825,41405
826,41400
827,41332
828,41226
829,41197
830,40954
831,40932
832,40784
833,40777
834,40771
835,40681
836,40608
837,40552
838,40509
839,40467
840,40464
841,40424
842,40411
843,40383
844,40278
845,40246
846,40239
847,40168
848,40160
849,40147
850,40011
851,40005
852,39936
853,39922
854,39902
855,39850
856,39763
857,39725
858,39715
859,39633
860,39576
861,39556
862,39545
863,39531
864,39501
865,39481
866,39435
867,39403
868,39396
869,39379
870,39327
871,39307
872,39291
873,39278
874,39233
875,39193
876,39163
877,39161
878,39117
879,39053
880,39039
881,38996
882,38905
883,38879
884,38831
885,38767
886,38708
887,38690
888,38681
889,38668
890,38656
891,38649
892,38609
893,38530
894,38481
895,38478
896,38451
897,38446
898,38391
899,38376
900,38333
901,38318
902,38285
903,38267
904,38246
905,38166
906,38105
907,38094
908,38050
909,37999
910,37972
911,37969
912,37859
913,37855
914,37742
915,37700
916,37644
917,37541
918,37409
919,37401
920,37390
921,37372
922,37360
923,37335
924,37272
925,37241
926,37225
927,37172
928,37048
929,36997
930,36983
931,36978
932,36830
933,36777
934,36752
935,36747
936,36692
937,36626
938,36623
939,36583
940,36518
941,36499
942,36496
943,36451
944,36392
945,36377
946,36334
947,36329
948,36231
949,36129
950,36124
951,36119
952,36109
953,36098
954,36060
955,36021
956,35991
957,35991
958,35957
959,35904
960,35902
961,35899
962,35863
963,35858
964,35666
965,35642
966,35554
967,35534
968,35534
969,35534
970,35522
971,35491
972,35397
973,35322
974,35250
975,35237
976,35228
977,35224
978,35221
979,35196
980,35159
981,35124
982,35118
983,35031
984,34947
985,34905
986,34879
987,34806
988,34783
989,34768
990,34763
991,34733
992,34639
993,34633
994,34624
995,34546
996,34513
997,34466
998,34441
999,34440
1000,34416
1001,34392
1002,34353
1003,34343
1004,34312
1005,34269
1006,34255
1007,34252
1008,34233
1009,34210
1010,34179
1011,34148
1012,34146
1013,34137
1014,34063
1015,34060
1016,34035
1017,33963
1018,33949
1019,33938
1020,33929
1021,33922
1022,33902
1023,33896
1024,33796
1025,33791
1026,33757
1027,33752
1028,33749
1029,33742
1030,33727
1031,33706
1032,33700
1033,33691
1034,33684
1035,33656
1036,33608
1037,33599
1038,33534
1039,33529
1040,33508
1041,33494
1042,33491
1043,33436
1044,33436
1045,33434
1046,33390
1047,33300
1048,33279
1049,33254
1050,33243
1051,33232
1052,33227
1053,33223
1054,33205
1055,33188
1056,33181
1057,33110
1058,33103
1059,33071
1060,33070
1061,33032
1062,33004
1063,32966
1064,32962
1065,32904
1066,32890
1067,32888
1068,32858
1069,32816
1070,32794
1071,32726
1072,32717
1073,32716
1074,32714
1075,32701
1076,32698
1077,32694
1078,32694
1079,32622
1080,32608
1081,32584
1082,32522
1083,32521
1084,32491
1085,32482
